Model,MAE,MSE,RMSE,R-Squared
XGBoost,23.353302704048907,2681.9477796523406,51.78752532852232,0.8046528570074276
Neural Network (Keras),25.74652135442089,3208.162215858892,56.64064102620036,0.7663245616191698
Random Forest,25.53724261215821,3271.06980354269,57.19326711722884,0.7617425121028375
KNN (distance),33.187029532717006,4159.882308583547,64.49714961596014,0.6970033755569687
KNN (uniform),34.380924173716664,4326.396995984679,65.77535249608837,0.6848748141073757
Ridge,47.83309729815043,6405.304378484297,80.03314549912615,0.5334517995361857
OLS,47.8349165422195,6406.112702209246,80.03819527081583,0.5333929230243163
Lasso,48.887930754110265,6568.341645050857,81.04530612596177,0.5215765257270796
