Model,MAE,MSE,RMSE,R-Squared
Equal-Width,70.91042416375859,11322.907555724443,106.40915165400222,0.17526446332728074
Equal-Frequency,71.10919543347951,11346.200858872178,106.51854701821735,0.173567830657811
